tileset,overworld
tileperline,18
tilelines,8
mwidth,16
mheight,11
55,55,18,55,55,55,55,2,2,90,91,91,91,91,91,91
55,55,18,55,55,55,56,2,2,90,91,91,91,91,91,91
55,55,18,55,2,2,2,2,2,90,91,91,91,91,91,91
55,55,18,55,2,2,2,2,2,90,91,91,91,91,91,91
55,55,18,56,2,2,2,2,2,108,109,109,109,109,109,109
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
37,37,37,37,37,37,38,2,2,36,37,37,37,37,37,37
55,55,55,55,55,55,55,2,2,55,55,55,55,55,55,55
