tileset,/tmp/resources/tilesets/Overworld32.png,
tilesperline,18,
ntiles,149,
mapdata,
061,061,061,061,061,061,061,061,061,061,061,061,061,061,061,061,
061,061,061,061,061,061,061,061,061,061,061,061,061,061,061,061,
061,062,008,008,008,008,008,008,008,060,062,008,008,008,060,061,
062,008,008,007,008,007,008,008,008,008,008,008,007,008,008,060,
008,008,008,008,008,008,008,008,008,008,008,008,008,008,008,008,
008,008,008,007,008,007,008,008,008,008,008,008,007,008,008,008,
008,008,008,008,008,008,008,008,008,008,008,008,008,008,008,008,
044,008,008,007,008,007,008,008,008,008,008,008,007,008,008,042,
061,044,008,008,008,008,008,008,008,042,044,008,008,008,042,061,
061,061,043,043,043,043,043,008,008,061,061,043,043,043,061,061,
061,061,061,061,061,061,061,008,008,061,061,061,061,061,061,061,
collision,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,03,03,03,03,03,03,03,00,00,03,03,03,00,00,
00,03,01,01,01,01,01,01,01,03,03,01,01,01,03,00,
03,01,01,03,01,03,01,01,01,01,01,01,03,01,01,03,
01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,
01,01,01,03,01,03,01,01,01,01,01,01,03,01,01,01,
01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,
00,01,01,03,01,03,01,01,01,01,01,01,03,01,01,00,
00,00,01,01,01,01,01,01,01,00,00,01,01,01,00,00,
00,00,00,00,00,00,00,01,01,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,11,11,00,00,00,00,00,00,00,
