tileset,/tmp/resources/tilesets/Overworld32.png,
tilesperline,18,
ntiles,149,
mapdata,
061,061,025,008,025,008,025,008,008,025,008,025,008,025,008,025,
061,061,025,008,025,008,025,008,008,025,008,025,008,025,008,025,
061,061,008,008,008,008,008,008,008,008,008,008,008,008,008,008,
061,062,008,008,008,008,025,008,008,025,008,025,008,025,008,008,
062,008,025,008,025,008,008,008,008,008,008,008,008,008,008,008,
008,008,008,008,008,008,025,008,008,025,008,025,008,025,008,008,
044,008,025,008,025,008,008,008,008,008,008,008,008,008,008,008,
061,044,008,008,008,008,025,008,008,025,008,025,008,025,008,008,
061,061,008,008,008,008,008,008,008,008,008,008,008,008,008,008,
061,061,025,025,025,025,025,025,025,025,025,025,025,025,025,025,
061,061,025,025,025,025,025,025,025,025,025,025,025,025,025,025,
collision,
00,00,00,01,00,01,00,01,01,00,01,00,01,00,01,00,
00,00,03,01,03,01,03,01,01,03,01,03,01,03,01,03,
00,00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,
00,03,01,01,01,01,03,01,01,03,01,03,01,03,01,01,
03,01,03,01,03,01,01,01,01,01,01,01,01,01,01,01,
12,01,01,01,01,01,03,01,01,03,01,03,01,03,01,01,
00,01,03,01,03,01,01,01,01,01,01,01,01,01,01,01,
00,00,01,01,01,01,03,01,01,03,01,03,01,03,01,01,
00,00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
