tileset,overworld
tileperline,18
tilelines,8
mwidth,16
mheight,11
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
55,55,55,55,55,55,55,55,56,54,55,55,55,55,55,55
55,55,55,55,55,55,55,55,2,2,54,56,2,2,54,56
55,55,55,55,55,55,55,55,2,2,2,2,2,2,2,2
55,55,55,55,55,55,55,56,2,2,2,2,2,2,2,2
2,54,56,2,2,54,56,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,36,38,2,2,36,38,2,2,2,36,38,2,2,36,38
37,55,55,18,37,55,55,37,38,36,55,55,37,18,55,55
55,55,55,18,55,55,55,55,55,55,55,55,55,18,55,55
